Code,Level,Parent,Description
25.99.1,5,25.99,Manufacture of non-electrical metal household articles
25.99.2,5,25.99,"Manufacture of safes, strong-boxes, armoured doors, etc."
25.99.3,5,25.99,Manufacture of fabricated metal products n.e.c.
26,2,C,"Manufacture of computer, electronic and optical products"
26.1,3,26,Manufacture of electronic components and boards
26.11,4,26.1,Manufacture of electronic components
26.11.1,5,26.11,Manufacture of solar cells and solar modules
26.11.9,5,26.11,Manufacture of other electronic components
26.12,4,26.1,Manufacture of loaded electronic boards
26.12.0,5,26.12,Manufacture of loaded electronic boards
26.2,3,26,Manufacture of computers and peripheral equipment
26.20,4,26.2,Manufacture of computers and peripheral equipment
26.20.0,5,26.20,Manufacture of computers and peripheral equipment
26.3,3,26,Manufacture of communication equipment
26.30,4,26.3,Manufacture of communication equipment
26.30.0,5,26.30,Manufacture of communication equipment
26.4,3,26,Manufacture of consumer electronics
26.40,4,26.4,Manufacture of consumer electronics
26.40.0,5,26.40,Manufacture of consumer electronics
26.5,3,26,"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
26.51,4,26.5,"Manufacture of instruments and appliances for measuring, testing and navigation"
26.51.1,5,26.51,"Manufacture of electric instruments and appliances for measuring, testing and navigation"
26.51.2,5,26.51,"Manufacture of non-electric instruments and appliances for measuring, testing and navigation"
26.51.3,5,26.51,Manufacture of testing machines
26.52,4,26.5,Manufacture of watches and clocks
26.52.0,5,26.52,Manufacture of watches and clocks
26.6,3,26,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
26.60,4,26.6,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
26.60.0,5,26.60,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
26.7,3,26,Manufacture of optical instruments and photographic equipment
26.70,4,26.7,Manufacture of optical instruments and photographic equipment
26.70.0,5,26.70,Manufacture of optical instruments and photographic equipment
26.8,3,26,Manufacture of magnetic and optical media
26.80,4,26.8,Manufacture of magnetic and optical media
26.80.0,5,26.80,Manufacture of magnetic and optical media
27,2,C,Manufacture of electrical equipment
27.1,3,27,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
27.11,4,27.1,"Manufacture of electric motors, generators and transformers"
27.11.0,5,27.11,"Manufacture of electric motors, generators and transformers"
27.12,4,27.1,Manufacture of electricity distribution and control apparatus
27.12.0,5,27.12,Manufacture of electricity distribution and control apparatus
27.2,3,27,Manufacture of batteries and accumulators
27.20,4,27.2,Manufacture of batteries and accumulators
27.20.0,5,27.20,Manufacture of batteries and accumulators
27.3,3,27,Manufacture of wiring and wiring devices
27.31,4,27.3,Manufacture of fibre optic cables
27.31.0,5,27.31,Manufacture of fibre optic cables
27.32,4,27.3,Manufacture of other electronic and electric wires and cables
27.32.0,5,27.32,Manufacture of other electronic and electric wires and cables
27.33,4,27.3,Manufacture of wiring devices
27.33.0,5,27.33,Manufacture of wiring devices
27.4,3,27,Manufacture of electric lighting equipment
27.40,4,27.4,Manufacture of electric lighting equipment
27.40.0,5,27.40,Manufacture of electric lighting equipment
27.5,3,27,Manufacture of domestic appliances
27.51,4,27.5,Manufacture of electric domestic appliances
27.51.0,5,27.51,Manufacture of electric domestic appliances
27.52,4,27.5,Manufacture of non-electric domestic appliances
27.52.0,5,27.52,Manufacture of non-electric domestic appliances
27.9,3,27,Manufacture of other electrical equipment
27.90,4,27.9,Manufacture of other electrical equipment
27.90.0,5,27.90,Manufacture of other electrical equipment
28,2,C,Manufacture of machinery and equipment n.e.c.
28.1,3,28,Manufacture of general-purpose machinery
28.11,4,28.1,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
28.11.0,5,28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
28.12,4,28.1,Manufacture of fluid power equipment
28.12.0,5,28.12,Manufacture of fluid power equipment
28.13,4,28.1,Manufacture of other pumps and compressors
28.13.0,5,28.13,Manufacture of other pumps and compressors
28.14,4,28.1,Manufacture of other taps and valves
28.14.0,5,28.14,Manufacture of other taps and valves
28.15,4,28.1,"Manufacture of bearings, gears, gearing and driving elements"
28.15.0,5,28.15,"Manufacture of bearings, gears, gearing and driving elements"
28.2,3,28,Manufacture of other general-purpose machinery
28.21,4,28.2,"Manufacture of ovens, furnaces and furnace burners"
28.21.1,5,28.21,Manufacture of solar heat collectors
28.21.9,5,28.21,"Manufacture of other ovens, furnaces and furnace burners"
28.22,4,28.2,Manufacture of lifting and handling equipment
28.22.0,5,28.22,Manufacture of lifting and handling equipment
28.23,4,28.2,Manufacture of office machinery and equipment (except computers and peripheral equipment)
28.23.0,5,28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment)
28.24,4,28.2,Manufacture of power-driven hand tools
28.24.0,5,28.24,Manufacture of power-driven hand tools
28.25,4,28.2,Manufacture of non-domestic cooling and ventilation equipment
28.25.0,5,28.25,Manufacture of non-domestic cooling and ventilation equipment
28.29,4,28.2,Manufacture of other general-purpose machinery n.e.c.
28.29.0,5,28.29,Manufacture of other general-purpose machinery n.e.c.
28.3,3,28,Manufacture of agricultural and forestry machinery
28.30,4,28.3,Manufacture of agricultural and forestry machinery
28.30.0,5,28.30,Manufacture of agricultural and forestry machinery
28.4,3,28,Manufacture of metal forming machinery and machine tools
28.41,4,28.4,Manufacture of metal forming machinery
28.41.0,5,28.41,Manufacture of metal forming machinery
28.49,4,28.4,Manufacture of other machine tools
28.49.1,5,28.49,"Manufacture of machine tools for working stone, concrete and other mineral substances"
28.49.2,5,28.49,Manufacture of machine tools for working other hard materials
28.49.3,5,28.49,Manufacture of holders and other accessories for machine tools
28.49.9,5,28.49,Manufacture of other machine tools n.e.c.
28.9,3,28,Manufacture of other special-purpose machinery
28.91,4,28.9,Manufacture of machinery for metallurgy
28.91.0,5,28.91,Manufacture of machinery for metallurgy
28.92,4,28.9,"Manufacture of machinery for mining, quarrying and construction"
28.92.1,5,28.92,Manufacture of machinery for mining and quarrying
28.92.2,5,28.92,Manufacture of machinery for construction
28.93,4,28.9,"Manufacture of machinery for food, beverage and tobacco processing"
28.93.0,5,28.93,"Manufacture of machinery for food, beverage and tobacco processing"
28.94,4,28.9,"Manufacture of machinery for textile, apparel and leather production"
28.94.0,5,28.94,"Manufacture of machinery for textile, apparel and leather production"
28.95,4,28.9,Manufacture of machinery for paper and paperboard production
28.95.0,5,28.95,Manufacture of machinery for paper and paperboard production
28.96,4,28.9,Manufacture of plastics and rubber machinery
28.96.0,5,28.96,Manufacture of plastics and rubber machinery
28.99,4,28.9,Manufacture of other special-purpose machinery n.e.c.
28.99.0,5,28.99,Manufacture of other special-purpose machinery n.e.c.
29,2,C,"Manufacture of motor vehicles, trailers and semi-trailers"
29.1,3,29,Manufacture of motor vehicles
29.10,4,29.1,Manufacture of motor vehicles
29.10.1,5,29.10,Manufacture of passenger cars and their engines
29.10.2,5,29.10,Manufacture of commercial vehicles and their engines
29.2,3,29,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
29.20,4,29.2,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
29.20.0,5,29.20,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
29.3,3,29,Manufacture of parts and accessories for motor vehicles
29.31,4,29.3,Manufacture of electrical and electronic equipment for motor vehicles
29.31.0,5,29.31,Manufacture of electrical and electronic equipment for motor vehicles
29.32,4,29.3,Manufacture of other parts and accessories for motor vehicles
29.32.0,5,29.32,Manufacture of other parts and accessories for motor vehicles
30,2,C,Manufacture of other transport equipment
30.1,3,30,Building of ships and boats
30.11,4,30.1,Building of ships and floating structures
30.11.0,5,30.11,Building of ships and floating structures
30.12,4,30.1,Building of pleasure and sporting boats
30.12.0,5,30.12,Building of pleasure and sporting boats
30.2,3,30,Manufacture of railway locomotives and rolling stock
30.20,4,30.2,Manufacture of railway locomotives and rolling stock
30.20.1,5,30.20,Manufacture of locomotives and other rail vehicles
30.20.2,5,30.20,Manufacture of railway infrastructure
30.3,3,30,Manufacture of air and spacecraft and related machinery
30.30,4,30.3,Manufacture of air and spacecraft and related machinery
30.30.0,5,30.30,Manufacture of air and spacecraft and related machinery
30.4,3,30,Manufacture of military fighting vehicles
30.40,4,30.4,Manufacture of military fighting vehicles
30.40.0,5,30.40,Manufacture of military fighting vehicles
30.9,3,30,Manufacture of transport equipment n.e.c.
30.91,4,30.9,Manufacture of motorcycles
30.91.0,5,30.91,Manufacture of motorcycles
30.92,4,30.9,Manufacture of bicycles and invalid carriages
30.92.0,5,30.92,Manufacture of bicycles and invalid carriages
30.99,4,30.9,Manufacture of other transport equipment n.e.c.
30.99.0,5,30.99,Manufacture of other transport equipment n.e.c.
31,2,C,Manufacture of furniture
31.0,3,31,Manufacture of furniture
31.01,4,31.0,Manufacture of office and shop furniture
31.01.1,5,31.01,Manufacture of office furniture
31.01.2,5,31.01,Manufacture of shop furniture and other special furniture
31.02,4,31.0,Manufacture of kitchen furniture
31.02.0,5,31.02,Manufacture of kitchen furniture
31.03,4,31.0,Manufacture of mattresses
31.03.0,5,31.03,Manufacture of mattresses
31.09,4,31.0,Manufacture of other furniture
31.09.1,5,31.09,"Manufacture of armchairs, sofas and couches"
31.09.9,5,31.09,Manufacture of other furniture n.e.c.
32,2,C,Other manufacturing
32.1,3,32,"Manufacture of jewellery, bijouterie and related articles"
32.11,4,32.1,Striking of coins
32.11.0,5,32.11,Striking of coins
32.12,4,32.1,Manufacture of jewellery and related articles
32.12.0,5,32.12,Manufacture of jewellery and related articles
32.13,4,32.1,Manufacture of imitation jewellery and related articles
32.13.0,5,32.13,Manufacture of imitation jewellery and related articles
32.2,3,32,Manufacture of musical instruments
32.20,4,32.2,Manufacture of musical instruments
32.20.0,5,32.20,Manufacture of musical instruments
32.3,3,32,Manufacture of sports goods
32.30,4,32.3,Manufacture of sports goods
32.30.0,5,32.30,Manufacture of sports goods
32.4,3,32,Manufacture of games and toys
32.40,4,32.4,Manufacture of games and toys
32.40.0,5,32.40,Manufacture of games and toys
32.5,3,32,Manufacture of medical and dental instruments and supplies
32.50,4,32.5,Manufacture of medical and dental instruments and supplies
32.50.1,5,32.50,Manufacture of medico-technical instruments and supplies n.e.c.
32.50.2,5,32.50,Manufacture of orthopaedic appliances
32.50.3,5,32.50,Dental laboratories
32.9,3,32,Manufacturing n.e.c.
32.91,4,32.9,Manufacture of brooms and brushes
32.91.0,5,32.91,Manufacture of brooms and brushes
32.99,4,32.9,Other manufacturing n.e.c.
32.99.0,5,32.99,Other manufacturing n.e.c.
33,2,C,Repair and installation of machinery and equipment
33.1,3,33,"Repair of fabricated metal products, machinery and equipment"
33.11,4,33.1,Repair of fabricated metal products
33.11.0,5,33.11,Repair of fabricated metal products
33.12,4,33.1,Repair of machinery
33.12.0,5,33.12,Repair of machinery
33.13,4,33.1,Repair of electronic and optical equipment
33.13.0,5,33.13,Repair of electronic and optical equipment
33.14,4,33.1,Repair of electrical equipment
33.14.0,5,33.14,Repair of electrical equipment
33.15,4,33.1,Repair and maintenance of ships and boats
33.15.0,5,33.15,Repair and maintenance of ships and boats
33.16,4,33.1,Repair and maintenance of aircraft and spacecraft
33.16.0,5,33.16,Repair and maintenance of aircraft and spacecraft
33.17,4,33.1,Repair and maintenance of other transport equipment
33.17.0,5,33.17,Repair and maintenance of other transport equipment
33.19,4,33.1,Repair of other equipment
33.19.0,5,33.19,Repair of other equipment
33.2,3,33,Installation of industrial machinery and equipment
33.20,4,33.2,Installation of industrial machinery and equipment
33.20.0,5,33.20,Installation of industrial machinery and equipment
D,1,,"Electricity, gas, steam and air conditioning supply"
35,2,D,"Electricity, gas, steam and air conditioning supply"
35.1,3,35,"Electric power generation, transmission and distribution"
35.11,4,35.1,Production of electricity
35.11.1,5,35.11,Production of electricity without distribution
35.11.2,5,35.11,Production of electricity incl. purchases from other suppliers for distribution
35.11.3,5,35.11,Production of electricity excl. purchases from other suppliers for distribution
35.12,4,35.1,Transmission of electricity
35.12.0,5,35.12,Transmission of electricity
35.13,4,35.1,Distribution of electricity
35.13.0,5,35.13,Distribution of electricity
35.14,4,35.1,Trade of electricity
35.14.0,5,35.14,Trade of electricity
35.2,3,35,Manufacture of gas; distribution of gaseous fuels through mains
35.21,4,35.2,Manufacture of gas
35.21.1,5,35.21,Manufacture of gas without distribution
35.21.2,5,35.21,Manufacture of gas incl. purchases from other suppliers for distribution
35.21.3,5,35.21,Manufacture of gas excl. purchases from other suppliers for distribution
35.22,4,35.2,Distribution of gaseous fuels through mains
35.22.0,5,35.22,Distribution of gaseous fuels through mains
35.23,4,35.2,Trade of gas through mains
35.23.0,5,35.23,Trade of gas through mains
35.3,3,35,Steam and air conditioning supply
35.30,4,35.3,Steam and air conditioning supply
35.30.0,5,35.30,Steam and air conditioning supply
E,1,,"Water supply; sewerage, waste management and remediation activities"
36,2,E,"Water collection, treatment and supply"
36.0,3,36,"Water collection, treatment and supply"
36.00,4,36.0,"Water collection, treatment and supply"
36.00.1,5,36.00,Collection and purification of water incl. purchases from other suppliers for distribution
36.00.2,5,36.00,Collection and purification of water excl. purchases from other suppliers for distribution
36.00.3,5,36.00,Distribution of water without collection and purification
37,2,E,Sewerage
37.0,3,37,Sewerage
37.00,4,37.0,Sewerage
37.00.1,5,37.00,Operation of sewer systems
37.00.2,5,37.00,Operation of sewage treatment facilities
38,2,E,"Waste collection, treatment and disposal activities; materials recovery"
38.1,3,38,Waste collection
38.11,4,38.1,Collection of non-hazardous waste
38.11.0,5,38.11,Collection of non-hazardous waste
38.12,4,38.1,Collection of hazardous waste
38.12.0,5,38.12,Collection of hazardous waste
38.2,3,38,Waste treatment and disposal
38.21,4,38.2,Treatment and disposal of non-hazardous waste
38.21.0,5,38.21,Treatment and disposal of non-hazardous waste
38.22,4,38.2,Treatment and disposal of hazardous waste
38.22.0,5,38.22,Treatment and disposal of hazardous waste
38.3,3,38,Materials recovery
38.31,4,38.3,Dismantling of wrecks
38.31.0,5,38.31,Dismantling of wrecks
38.32,4,38.3,Recovery of sorted materials
38.32.0,5,38.32,Recovery of sorted materials
39,2,E,Remediation activities and other waste management services
39.0,3,39,Remediation activities and other waste management services
39.00,4,39.0,Remediation activities and other waste management services
39.00.0,5,39.00,Remediation activities and other waste management services
F,1,,Construction
41,2,F,Construction of buildings
41.1,3,41,Development of building projects
41.10,4,41.1,Development of building projects
41.10.1,5,41.10,Development of land not built-on
41.10.2,5,41.10,Development of building projects for non-residential buildings
41.10.3,5,41.10,Development of building projects for residential buildings
41.2,3,41,Construction of residential and non-residential buildings
41.20,4,41.2,Construction of residential and non-residential buildings
41.20.1,5,41.20,Construction of residential and non-residential buildings (except prefabricated constructions)
41.20.2,5,41.20,Assembly and erection of prefabricated constructions
42,2,F,Civil engineering
42.1,3,42,Construction of roads and railways
42.11,4,42.1,Construction of roads and motorways
42.11.0,5,42.11,Construction of roads and motorways
42.12,4,42.1,Construction of railways and underground railways
42.12.0,5,42.12,Construction of railways and underground railways
42.13,4,42.1,Construction of bridges and tunnels
42.13.0,5,42.13,Construction of bridges and tunnels
42.2,3,42,Construction of utility projects
42.21,4,42.2,Construction of utility projects for fluids
42.21.0,5,42.21,Construction of utility projects for fluids
42.22,4,42.2,Construction of utility projects for electricity and telecommunications
42.22.0,5,42.22,Construction of utility projects for electricity and telecommunications
42.9,3,42,Construction of other civil engineering projects
42.91,4,42.9,Construction of water projects
42.91.0,5,42.91,Construction of water projects
42.99,4,42.9,Construction of other civil engineering projects n.e.c.
42.99.0,5,42.99,Construction of other civil engineering projects n.e.c.
43,2,F,Specialised construction activities
43.1,3,43,Demolition and site preparation
43.11,4,43.1,Demolition
43.11.0,5,43.11,Demolition
43.12,4,43.1,Site preparation
43.12.0,5,43.12,Site preparation
43.13,4,43.1,Test drilling and boring
43.13.0,5,43.13,Test drilling and boring
43.2,3,43,"Electrical, plumbing and other construction installation activities"
43.21,4,43.2,Electrical installation
43.21.0,5,43.21,Electrical installation
43.22,4,43.2,"Plumbing, heat and air-conditioning installation"
43.22.0,5,43.22,"Plumbing, heat and air-conditioning installation"
43.29,4,43.2,Other construction installation
43.29.1,5,43.29,Insulation work activities
43.29.9,5,43.29,Other construction installation n.e.c.
43.3,3,43,Building completion and finishing
43.31,4,43.3,Plastering
43.31.0,5,43.31,Plastering
43.32,4,43.3,Joinery installation
43.32.0,5,43.32,Joinery installation
43.33,4,43.3,Floor and wall covering
43.33.0,5,43.33,Floor and wall covering
43.34,4,43.3,Painting and glazing
43.34.1,5,43.34,Painting and lacquering
43.34.2,5,43.34,Glazing
43.39,4,43.3,Other building completion and finishing
43.39.0,5,43.39,Other building completion and finishing
43.9,3,43,Other specialised construction activities
43.91,4,43.9,Roofing activities
43.91.1,5,43.91,"Erection of roofs, roof covering and related plumbing work"
43.91.2,5,43.91,Erection of frames and constructional timber works
43.99,4,43.9,Other specialised construction activities n.e.c.
43.99.1,5,43.99,Scaffolds and work platforms erecting and dismantling
43.99.2,5,43.99,Erection of chimneys and industrial ovens
43.99.9,5,43.99,Construction activities n.e.c.
G,1,,Wholesale and retail trade; repair of motor vehicles and motorcycles
45,2,G,Wholesale and retail trade and repair of motor vehicles and motorcycles
45.1,3,45,Sale of motor vehicles
45.11,4,45.1,Sale of cars and light motor vehicles
45.11.0,5,45.11,Sale of cars and light motor vehicles
45.19,4,45.1,Sale of other motor vehicles
45.19.0,5,45.19,Sale of other motor vehicles
45.2,3,45,Maintenance and repair of motor vehicles
45.20,4,45.2,Maintenance and repair of motor vehicles
45.20.1,5,45.20,Spraying and painting of motor vehicles
45.20.2,5,45.20,"Washing, polishing, etc. of motor vehicles"
45.20.3,5,45.20,"Maintenance and repair of motor vehicles with a weight not exceeding 3.5 tons (excl. spraying, painting and washing of motor vehicles)"
45.20.4,5,45.20,"Maintenance and repair of motor vehicles with a weight exceeding 3.5 tons (excl. spraying, painting and washing of motor vehicles)"
45.3,3,45,Sale of motor vehicle parts and accessories
45.31,4,45.3,Wholesale trade of motor vehicle parts and accessories
45.31.0,5,45.31,Wholesale trade of motor vehicle parts and accessories
45.32,4,45.3,Retail trade of motor vehicle parts and accessories
45.32.0,5,45.32,Retail trade of motor vehicle parts and accessories
45.4,3,45,"Sale, maintenance and repair of motorcycles and related parts and accessories"
45.40,4,45.4,"Sale, maintenance and repair of motorcycles and related parts and accessories"
45.40.0,5,45.40,"Sale, maintenance and repair of motorcycles and related parts and accessories"
46,2,G,"Wholesale trade, except of motor vehicles and motorcycles"
46.1,3,46,Wholesale on a fee or contract basis
46.11,4,46.1,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
46.11.0,5,46.11,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
46.12,4,46.1,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
46.12.0,5,46.12,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
46.13,4,46.1,Agents involved in the sale of timber and building materials
46.13.1,5,46.13,"Agents involved in the sale of wood in the rough, products of primary processing of wood, and wooden construction elements"
46.13.2,5,46.13,"Agents involved in the sale of building materials, paints and varnishes"
46.14,4,46.1,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
46.14.1,5,46.14,Agents involved in the sale of machinery (except agricultural and office machinery) and industrial equipment n.e.c.
46.14.2,5,46.14,Agents involved in the sale of ships and aircraft
46.14.3,5,46.14,Agents involved in the sale of audio and video equipment
46.14.4,5,46.14,Agents involved in the sale of tools
46.14.5,5,46.14,"Agents involved in the sale of office machinery, computers, peripheral equipment and software"
46.14.6,5,46.14,Agents involved in the sale of agricultural machinery and equipment
46.14.7,5,46.14,"Agents involved in the sale of plumbing and heating equipment and supplies, air conditioning"
46.14.9,5,46.14,Agents involved in the sale of electrical and electronic products n.e.c.
46.15,4,46.1,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
46.15.1,5,46.15,Agents involved in the sale of furniture and antiques
46.15.2,5,46.15,"Agents involved in the sale of china, glassware, products of wood n.e.c. and wickerwork goods"
46.15.3,5,46.15,Agents involved in the sale of electrical household appliances
46.15.4,5,46.15,"Agents involved in the sale of hardware, ironmongery and plastic products n.e.c."
46.15.5,5,46.15,Agents involved in the sale of cleaning materials
46.16,4,46.1,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
46.16.1,5,46.16,Agents involved in the sale of fabrics for clothing and linen
46.16.2,5,46.16,"Agents involved in the sale of household textiles, household furnishing articles of textile materials and floor coverings"
46.16.3,5,46.16,Agents involved in the sale of clothing
46.16.4,5,46.16,Agents involved in the sale of clothing accessories
46.16.5,5,46.16,"Agents involved in the sale of footwear, leather goods and luggage"
46.17,4,46.1,"Agents involved in the sale of food, beverages and tobacco"
46.17.1,5,46.17,"Agents involved in the sale of sugar, chocolate and sugar confectionery"
46.17.2,5,46.17,"Agents involved in the sale of wine, sparkling wine and spirits"
46.17.9,5,46.17,"Agents involved in the sale of other food, beverages and tobacco"
46.18,4,46.1,Agents specialised in the sale of other particular products
46.18.1,5,46.18,"Agents involved in the sale of precision, photographic and optical equipment"
46.18.2,5,46.18,"Agents involved in the sale of watches, clocks, precious metal products and jewellery"
46.18.3,5,46.18,"Agents involved in the sale of games, toys and musical instruments"
46.18.4,5,46.18,"Agents involved in the sale of pharmaceutical, medical and orthopaedic goods, laboratory equipment, physicians’ and dental material and equipment, dentists’ instruments, material and equipment for hospitals and for nursing care provided to old people"
46.18.5,5,46.18,Agents involved in the sale of perfume and cosmetics
46.18.6,5,46.18,"Agents involved in the sale of paper and paperboard, stationery, gifts and giveaways, packing goods and wallpaper"
46.18.7,5,46.18,"Agents involved in the sale of books, newspapers, journals, periodicals, scores and other printed material"
46.18.9,5,46.18,Agents specialised in the sale of other particular products n.e.c.
46.19,4,46.1,Agents involved in the sale of a variety of goods
46.19.0,5,46.19,Agents involved in the sale of a variety of goods
46.2,3,46,Wholesale of agricultural raw materials and live animals
46.21,4,46.2,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
46.21.0,5,46.21,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
46.22,4,46.2,Wholesale of flowers and plants
46.22.0,5,46.22,Wholesale of flowers and plants
46.23,4,46.2,Wholesale of live animals
46.23.0,5,46.23,Wholesale of live animals
46.24,4,46.2,"Wholesale of hides, skins and leather"
46.24.0,5,46.24,"Wholesale of hides, skins and leather"
46.3,3,46,"Wholesale of food, beverages and tobacco"
46.31,4,46.3,Wholesale of fruit and vegetables
46.31.0,5,46.31,Wholesale of fruit and vegetables
46.32,4,46.3,Wholesale of meat and meat products
46.32.0,5,46.32,Wholesale of meat and meat products
46.33,4,46.3,"Wholesale of dairy products, eggs and edible oils and fats"
46.33.0,5,46.33,"Wholesale of dairy products, eggs and edible oils and fats"
46.34,4,46.3,Wholesale of beverages
46.34.0,5,46.34,Wholesale of beverages
46.35,4,46.3,Wholesale of tobacco products
46.35.0,5,46.35,Wholesale of tobacco products
46.36,4,46.3,Wholesale of sugar and chocolate and sugar confectionery
46.36.0,5,46.36,Wholesale of sugar and chocolate and sugar confectionery
46.37,4,46.3,"Wholesale of coffee, tea, cocoa and spices"
46.37.0,5,46.37,"Wholesale of coffee, tea, cocoa and spices"
46.38,4,46.3,"Wholesale of other food, including fish, crustaceans and molluscs"
46.38.1,5,46.38,"Wholesale of fish, crustaceans and molluscs"
46.38.2,5,46.38,Wholesale of flour and cereals products
46.38.9,5,46.38,Wholesale of food n.e.c.
46.39,4,46.3,"Non-specialised wholesale of food, beverages and tobacco"
46.39.1,5,46.39,Non-specialised wholesale of frozen food
46.39.9,5,46.39,"Non-specialised wholesale of other food, beverages and tobacco"
46.4,3,46,Wholesale of household goods
46.41,4,46.4,Wholesale of textiles
46.41.0,5,46.41,Wholesale of textiles
46.42,4,46.4,Wholesale of clothing and footwear
46.42.1,5,46.42,Wholesale of clothing
46.42.2,5,46.42,Wholesale of footwear
46.43,4,46.4,Wholesale of electrical household appliances
46.43.1,5,46.43,Wholesale of photographic and optical equipment
46.43.2,5,46.43,Wholesale of electrical household appliances
46.43.3,5,46.43,Wholesale of audio and video equipment
46.44,4,46.4,Wholesale of china and glassware and cleaning materials
46.44.1,5,46.44,Wholesale of china and glassware
46.44.2,5,46.44,Wholesale of detergents and cleaning materials
46.45,4,46.4,Wholesale of perfume and cosmetics
46.45.0,5,46.45,Wholesale of perfume and cosmetics
46.46,4,46.4,Wholesale of pharmaceutical goods
46.46.1,5,46.46,Wholesale of pharmaceutical goods
46.46.2,5,46.46,"Wholesale of medical and orthopaedic goods, dental and laboratory material and equipment"
46.47,4,46.4,"Wholesale of furniture, carpets and lighting equipment"
46.47.0,5,46.47,"Wholesale of furniture, carpets and lighting equipment"
46.48,4,46.4,Wholesale of watches and jewellery
46.48.0,5,46.48,Wholesale of watches and jewellery
46.49,4,46.4,Wholesale of other household goods
46.49.1,5,46.49,"Wholesale of games, toys and musical instruments"
46.49.2,5,46.49,"Wholesale of bicycles, their parts and accessories, sports and camping goods (excl. camping furniture)"
46.49.3,5,46.49,"Wholesale of leather goods, luggage, gifts and giveaways"
46.49.4,5,46.49,"Wholesale of paper and paperboard, stationery, books, newspapers, journals and periodicals"
46.49.5,5,46.49,"Wholesale of non-electrical household appliances, household articles of metal and other household goods n.e.c."
46.5,3,46,Wholesale of information and communication equipment
46.51,4,46.5,"Wholesale of computers, computer peripheral equipment and software"
46.51.0,5,46.51,"Wholesale of computers, computer peripheral equipment and software"
46.52,4,46.5,Wholesale of electronic and telecommunications equipment and parts
46.52.0,5,46.52,Wholesale of electronic and telecommunications equipment and parts
46.6,3,46,"Wholesale of other machinery, equipment and supplies"
46.61,4,46.6,"Wholesale of agricultural machinery, equipment and supplies"
46.61.0,5,46.61,"Wholesale of agricultural machinery, equipment and supplies"
46.62,4,46.6,Wholesale of machine tools
46.62.0,5,46.62,Wholesale of machine tools
46.63,4,46.6,"Wholesale of mining, construction and civil engineering machinery"
46.63.0,5,46.63,"Wholesale of mining, construction and civil engineering machinery"
46.64,4,46.6,Wholesale of machinery for the textile industry and of sewing and knitting machines
46.64.0,5,46.64,Wholesale of machinery for the textile industry and of sewing and knitting machines
46.65,4,46.6,Wholesale of office furniture
46.65.0,5,46.65,Wholesale of office furniture
46.66,4,46.6,Wholesale of other office machinery and equipment
46.66.0,5,46.66,Wholesale of other office machinery and equipment
46.69,4,46.6,Wholesale of other machinery and equipment
46.69.1,5,46.69,Wholesale of industrial trucks and vehicles n.e.c.
46.69.2,5,46.69,Wholesale of other machinery
46.69.3,5,46.69,Wholesale of other equipment and accessories for machinery and of industrial equipment
46.7,3,46,Other specialised wholesale
46.71,4,46.7,"Wholesale of solid, liquid and gaseous fuels and related products"
46.71.1,5,46.71,Wholesale of solid fuels
46.71.2,5,46.71,Wholesale of liquid and gaseous fuels and related products
46.72,4,46.7,Wholesale of metals and metal ores
46.72.1,5,46.72,"Wholesale of iron ores, iron, steel and ferrous semi-finished metal products"
46.72.2,5,46.72,"Wholesale of non-ferrous ores, non-ferrous metals and non-ferrous semi-finished metal products"
46.73,4,46.7,"Wholesale of wood, construction materials and sanitary equipment"
46.73.1,5,46.73,"Non-specialised wholesale of wood, construction materials and sanitary equipment"
46.73.2,5,46.73,Wholesale of wood in the rough and sawn timber
46.73.3,5,46.73,Wholesale of other products of primary processing of wood and wooden construction elements
46.73.4,5,46.73,Wholesale of construction materials and mineral construction elements
46.73.5,5,46.73,Wholesale of flat glass
46.73.6,5,46.73,Wholesale of paint and varnish
46.73.7,5,46.73,Wholesale of sanitary equipment
46.73.8,5,46.73,Wholesale of wallpaper and floor coverings (excluding carpets and rugs)
46.74,4,46.7,"Wholesale of hardware, plumbing and heating equipment and supplies"
46.74.1,5,46.74,"Wholesale of tools, metal locks, screws, nails etc."
