Code,Level,Parent,Description,Definition,Examples
26522,5,2652,Manufacture of electro-mechanical watches and clocks (e.g. watches and clocks with moving parts and battery),"This Sub-class includes the manufacture of electro-mechanical watches or clocks.

This Sub-class includes the manufacture of:
•quartz analogue watches/clocks
•quartz digital watches/clocks
•movements for electromechanical clock/watch
•kinetic watches",
26523,5,2652,Manufacture of mechanical watches and clocks,"This Sub-class includes the manufacture of mechanical watches or clocks.

This Sub-class includes the manufacture of:
•mechanical lapel watches
•mechanical pocket watches
•mechanical stop watches
•mechanical time switches
•movements for mechanical clock/watch
•spring-driven clocks
•manual watches
•automatic watches",
26524,5,2652,Manufacture of parts and accessories for watches and clocks,"This Sub-class includes the manufacture of parts or accessories for watches or clocks.

This Sub-class includes the manufacture of:
•components for clocks or watches (e.g. springs, jewels, dials, hands, plates, bridges or other parts) except movements of all kinds for watches or clocks
•watch or clock cases, including cases of precious metals",
266,3,26,"MANUFACTURE OF IRRADIATION, ELECTROMEDICAL AND ELECTROTHERAPEUTIC EQUIPMENT",,
2660,4,266,"Manufacture and Repair of Irradiation, Electromedical and Electrotherapeutic Equipment",,
26601,5,2660,Manufacture and repair of electrotherapeutic devices,"This Sub-class includes the manufacture or repair of electrotherapeutic devices.

This Sub-class includes the manufacture or repair of:
•hearing aids
•pacemakers
•electronic muscle stimulators",
26602,5,2660,Manufacture and repair of irradiation and electromedical equipment and instruments,"This Sub-class includes the manufacture, repair or maintenance of irradiation or electromedical equipment or instruments, for instance:
•irradiation apparatus or tubes (e.g. industrial, medical diagnostic, medical therapeutic, research, scientific uses)
•X-ray generators
•X-ray detectors for medical use  
•CT/CAT (Computerized Axial Tomography) scanners
•PET (Positron Emission Tomography) scanners
•Magnetic Resonance Imaging (MRI) equipment
•medical ultrasound equipment
•scintigraphic apparatus
•electrocardiographs
•electromedical endoscopic equipment
•medical laser equipment",
267,3,26,MANUFACTURE OF OPTICAL INSTRUMENTS AND PHOTOGRAPHIC EQUIPMENT,,
2670,4,267,Manufacture of Optical Instruments and Photographic Equipment,,
26701,5,2670,Manufacture of photographic equipment and parts (including lenses),"This Sub-class includes the manufacture of photographic equipment or parts, for instance:
•film cameras or digital cameras
•photographic light meters
•components of cameras (e.g. lens)",
26709,5,2670,Manufacture of optical instruments and photographic equipment n.e.c.,"This Sub-class includes the manufacture of optical instruments or photographic equipment not elsewhere classified. This Sub-class also includes coating, polishing or mounting of lenses.","•optical microscopes, binoculars or telescopes manufacturing
•optical mirrors manufacturing
•optical magnifying instruments manufacturing
•optical machinist's precision tools manufacturing
•optical comparators manufacturing
•optical gun sighting equipment manufacturing
•optical positioning equipment manufacturing
•optical measuring or checking devices or instruments (e.g. fire control equipment, range finders) manufacturing
•motion picture or slide projectors manufacturing
•overhead transparency projectors manufacturing
•laser optics compoments/assemblies manufacturing"
268,3,26,MANUFACTURE OF MAGNETIC AND OPTICAL MEDIA,,
2680,4,268,Manufacture of Magnetic and Optical Media,,
26801,5,2680,Manufacture of disk media,This Sub-class includes the manufacture of hard drive media.,
26802,5,2680,"Manufacture of blank magnetic tapes, diskettes, Blu-ray technology discs, CDs, DVDs and VCDs","This Sub-class includes the manufacture of blank magnetic or optical recording media.

This Sub-class includes the manufacture of:
•blank magnetic audio or video tapes
•blank magnetic audio or video cassettes
•blank diskettes
•blank optical discs",
27,2,C,MANUFACTURE OF ELECTRICAL EQUIPMENT,,
271,3,27,"MANUFACTURE OF ELECTRIC MOTORS, GENERATORS, TRANSFORMERS, ELECTRICITY DISTRIBUTION AND CONTROL APPARATUS",,
2710,4,271,"Manufacture and Repair of Electric Motors, Generators, Transformers, Electricity Distribution and Control Apparatus",,
27101,5,2710,Manufacture and repair of electric motors,"This Sub-class includes the manufacture, repair or maintenance of electric motors. The electrical equipment manufactured in this class is for distribution level voltages.",
27102,5,2710,Manufacture and repair of electric generators,"This Sub-class includes the manufacture, repair or maintenance of electric generators or motor generator sets. The electrical equipment manufactured in this class is for distribution level voltages.

This Sub-class includes the manufacture, repair or maintenance of:
•power generators (except battery charging alternators for internal combustion engines)
•motor generator sets (except turbine generator set units)
•prime mover generator sets

This Sub-class also includes the rewinding of armatures on a factory basis.",
27103,5,2710,Manufacture and repair of transformers,"This Sub-class includes the manufacture, repair or maintenance of power, distribution or specialty transformers. The electrical equipment manufactured in this class is for distribution level voltages.

This Sub-class includes the manufacture, repair or maintenance of:
•electric distribution transformers
•arc-welding transformers
•fluorescent ballasts (i.e. transformers)
•substation transformers for electric power distribution",
27104,5,2710,"Manufacture and repair of switchgear and switchboard apparatus (including switches, circuit breakers and electrical control panels)","This Sub-class includes the manufacture, repair or maintenance of switchgear or switchboard apparatus. The electrical equipment manufactured in this class is for distribution level voltages.

This Sub-class includes the manufacture, repair or maintenance of:
•power circuit breakers
•surge suppressors (for distribution level voltage)
•control panels for electric power distribution
•electrical relays
•duct for electrical switchboard apparatus
•electric fuses
•power switching equipment
•electric power switches (except pushbutton, snap, solenoid, tumbler)",
27109,5,2710,"Manufacture and repair of electric motors, generators, transformers and electricity distribution and control apparatus n.e.c. (e.g. busbar trunking)","This Sub-class includes the manufacture, repair or maintenance of electric motors, generators, transformers or electricity distribution or control apparatus not elsewhere classified. The electrical equipment manufactured in this class is for distribution level voltages.","•electrical transmission or distribution equipment, except transformer or switchgear manufacturing 
•electrical transmission or distribution equipment, except transformer or switchgear repair or maintenance"
272,3,27,MANUFACTURE OF BATTERIES AND ACCUMULATORS,,
2720,4,272,Manufacture of Batteries and Accumulators,,
27201,5,2720,Manufacture of primary batteries,"This Sub-class includes the manufacture of primary (non-rechargeable).

This Sub-class includes the manufacture of:
•primary cells or primary batteries (e.g. cells containing manganese dioxide, mercuric dioxide, silver oxide, etc.)
•lithium batteries
•dry cell batteries",
27202,5,2720,Manufacture of secondary batteries,"This Sub-class includes the manufacture of secondary (rechargeable) batteries or electric accumulators including parts of accumulators such as separators, containers, covers, lead plates or grids.  

This Sub-class includes the manufacture of:
•electric accumulators, including parts thereof such as separators, containers, covers
•lead acid batteries
•NiCad batteries
•NiMH batteries
•Li-ion batteries
•Li-ion polymer batteries
•wet cell batteries",
273,3,27,MANUFACTURE OF WIRING AND WIRING DEVICES,,
2732,4,273,Manufacture of Electronic and Electric Wires and Cables,,
27321,5,2732,Manufacture of telecommunications cables and wires,"This Sub-class includes the manufacture of telecommunications cables or wires.
Also includes the manufacturing of optical fibre cables made up of individually sheathed fibres, whether or not assembled with electronic conductors or fitted with connectors.",
27322,5,2732,Manufacture of electric power cables and wires,This Sub-class includes the manufacture of electric power cables or wires.,
27323,5,2732,"Manufacture of enamelled wires (used for winding of motors, transformers etc)","This Sub-class includes the manufacture of enamelled wires (used for winding of motors, transformers, etc.)",
27324,5,2732,Manufacture of wire and cable assemblies and harnesses,This Sub-class includes the manufacture of wire or cable assemblies or harnesses.,
27329,5,2732,Manufacture of other electronic and electric wires and cables n.e.c.,This Sub-class includes the manufacture of other electronic or electric wires or cables not elsewhere classified.,
2733,4,273,Manufacture and Repair of Wiring Devices,,
27330,5,2733,Manufacture and repair of wiring devices,"This Sub-class includes the manufacture, repair or maintenance of current-carrying or non-current-carrying wiring devices for electrical circuits regardless of material.

This Sub-class includes the manufacture, repair or maintenance of the following:
•bus bars, electrical conductors (except switchgear-type) 
•GFCI (ground fault circuit interrupters) 
•lamp holders 
•lightning arrestors or coils
•switches for electrical wiring (e.g. pressure, pushbutton, snap, tumbler switches) 
•electrical outlets or sockets
•boxes for electrical wiring (e.g. junction, outlet, switch boxes) 
•electrical conduit or fitting
•transmission pole or line hardware
•plastic non-current-carrying wiring devices including plastic junction boxes, face plates, or similar, plastic pole line fittings",
274,3,27,MANUFACTURE OF ELECTRIC LIGHTING EQUIPMENT,,
2740,4,274,Manufacture and Repair of Electric Lighting Equipment,,
27400,5,2740,"Manufacture and repair of electric lamps and lighting equipment (including silver reflectors, fittings and parts)","This Sub-class includes the manufacture, repair or maintenance of electric light bulbs or tubes or parts or components thereof (except glass blanks for electric light bulbs), electric lighting fixtures or lighting fixture components (except current-carrying wiring devices).

This Sub-class includes the manufacture, repair or maintenance of the following:
•discharge, incandescent, fluorescent, ultra-violet, infra-red, etc. 
•lamps, fixtures or bulbs
•ceiling lighting fixtures
•chandeliers
•table lamps (i.e. lighting fixture)
•christmas tree lighting sets 
•electric fireplace logs 
•flashlights
•electric insect lamps
•lanterns (e.g. carbide, electric, gas, gasoline, kerosene)
•spotlights
•street lighting fixtures (except traffic signals)
•lighting equipment for transportation equipment (e.g. for motor vehicles, aircraft, boats)
•non-electrical lighting equipment",
275,3,27,MANUFACTURE OF DOMESTIC APPLIANCES,,
2750,4,275,Manufacture of Domestic Appliances,,
27501,5,2750,"Manufacture of electrical household appliances (e.g. refrigerators, hot plates, toasters, food mixers, cookers, hair dryers, fans, shavers)","This Sub-class includes the manufacture of electrical household appliances. 

This Sub-class includes the manufacture of:
•domestic electrical appliances (e.g. refrigerators, freezers, dishwashers, washing or drying machines, vacuum cleaners, floor polishers, waste disposers, grinders, blenders, juice squeezers, tin openers, electric shavers, electric toothbrushes or other electric personal care device, knife sharpeners, ventilating or recycling hoods)
•domestic electrothermic appliances (e.g. electric water heaters, electric blankets, electric dryers, combs, brushes, curlers, electric smoothing irons, portable space heaters or household-type fans, electric ovens, microwave ovens, cookers, hotplates, toasters, coffee or tea makers, fry pans, roasters, grills, hoods, electric heating resistors)",
27509,5,2750,"Manufacture of domestic appliances n.e.c. (e.g. non-electric cooking ranges, grates, stoves)",This Sub-class includes the manufacture of domestic appliances not elsewhere classified.,"•domestic non-electric cooking or heating equipment (e.g. non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers) manufacturing"
279,3,27,MANUFACTURE OF OTHER ELECTRICAL EQUIPMENT,,
2790,4,279,Manufacture of Other Electrical Equipment,,
27901,5,2790,Manufacture of fuel cells,This Sub-class includes the manufacture of fuel cells.,
27902,5,2790,"Manufacture of electrical machinery, apparatus, appliances and supplies (including sound or visual signalling apparatus, electrical insulators except porcelain or glass)","This Sub-class includes the manufacture of miscellaneous electrical equipment other than motors, generators or transformers, batteries or accumulators, wires or wiring devices, lighting equipment or domestic appliances.

This Sub-class includes the manufacture of: 
•battery chargers, solid-state
•door opening or closing devices, electrical
•electric bells 
•ultrasonic cleaning machines (except laboratory or dental)
•tanning beds
•solid state inverters, rectifying apparatus, regulated or unregulated power supplies
•uninterruptible power supplies (UPS)
•surge suppressors (except for distribution level voltage)
•appliance cords, extension cords, or other electrical cord sets with insulated wire or connectors
•carbon or graphite electrodes, contacts, or other electrical carbon or graphite products 
•particle accelerators
•electrical capacitors, resistors, condensers or similar components
•electromagnets
•sirens
•electronic scoreboards
•electrical signs
•electrical signalling equipment such as traffic lights or pedestrian signalling equipment
•electrical insulators (except glass or porcelain)
•electrical welding or soldering equipment, including handheld soldering irons",
28,2,C,MANUFACTURE OF MACHINERY AND EQUIPMENT,,
281,3,28,MANUFACTURE OF GENERAL PURPOSE MACHINERY,,
2811,4,281,"Manufacture and Repair of Engines and Turbines except Aircraft, Vehicle and Cycle Engines",,
28111,5,2811,"Manufacture and repair of engines and turbines except aircraft, vehicle, cycle and marine engines","This Sub-class includes manufacture, repair or maintenance of: 
•internal combustion piston engines excluding those used for motor vehicles, marine, aircraft or cycle propulsion
•pistons, piston rings, carburettors or such for all internal combustion engines, diesel engines, etc. excluding those used for motor vehicles, marine, aircraft or cycle propulsion
•inlet or exhaust valves of internal combustion engines
•turbines or parts thereof (e.g. steam turbines or other vapour turbines, hydraulic turbines, waterwheels or regulators thereof, wind turbines, gas turbines except turbojets or turbo propellers for aircraft propulsion)
•boiler-turbine sets
•turbine-generator sets",
28112,5,2811,Manufacture and repair of marine engine,"This Sub-class includes: manufacture, repair or maintenance of: 
•internal marine combustion piston engines
•pistons, piston rings, carburettors or such for all marine internal combustion engines or diesel engines, etc.
•inlet or exhaust valves of marine internal combustion engines",
2812,4,281,"Manufacture and Repair of Pumps, Compressors, Taps and Valves",,
28121,5,2812,"Manufacture and repair of pumps (e.g. hydraulic pumps, drainage pumps)","This Sub-class includes manufacture, repair or maintenance of:
•air or vacuum pumps, air or other gas compressors
•pumps for liquids whether or not fitted with a measuring device
•pumps designed for fitting to internal combustion engines: oil, water or fuel pumps for motor vehicles, etc.
•hand pumps",
28122,5,2812,"Manufacture and repair of taps, cocks and valves","This Sub-class includes manufacture, repair or maintenance of:
•industrial taps or valves, including regulating valves or intake taps
•sanitary taps or valves
•heating taps or valves",
28129,5,2812,"Manufacture and repair of pumps, compressors, taps and valves n.e.c.","This Sub-class includes manufacture or repair of pumps, compressors, taps or valves not elsewhere classified.","•air or gas compressors (e.g. reciprocating compressors) or centrifugal compressors manufacturing
•nonagricultural spraying or dusting compressors or spray gun units manufacturing
•air or gas compressors (e.g. reciprocating compressors) or centrifugal compressors repair or maintenance
•non-agricultural spraying or dusting compressors or spray gun units repair or maintenance"
2814,4,281,"Manufacture of Bearings, Gears, Gearing and Driving Elements",,
28141,5,2814,Manufacture of bearings (including disc and ball bearings),"This Sub-class includes manufacture of:
•ball or roller bearings or parts thereof
•mechanical power transmission equipment:
- transmission shafts or cranks: camshafts, crankshafts, cranks, etc.
- bearing housings or plain shaft bearings",
28142,5,2814,"Manufacture and repair of gears, gearing and driving elements","This Sub-class includes manufacture of:
•gears, gearing or gear boxes or other speed changers
•clutches or shaft couplings
•flywheels or pulleys
•articulated link chain
•power transmission chain",
2815,4,281,"Manufacture and Repair of Ovens, Furnaces and Furnace Burners",,
28150,5,2815,"Manufacture and repair of ovens, furnaces and furnace burners","This Sub-class includes manufacture, repair or maintenance of:
•electrical or other industrial or laboratory furnaces or ovens, including incinerators
•burners
•permanent mount electric space heaters, electric swimming pool heaters
•permanent mount non-electric household heating equipment, such as solar heating, steam heating, oil heat or similar furnaces or heating equipment
•electric household-type furnaces (electric forced air furnaces, heat pumps etc), non-electric household forced air furnaces
•mechanical stokers, grates, ash dischargers, etc",
2816,4,281,Manufacture and Repair of Lifting and Handling Equipment,,
28161,5,2816,Manufacture and repair of lifting and hoisting machinery except electrical,"This Sub-class includes manufacture, repair or maintenance of:
•hand-operated or power-driven lifting, handling, loading or unloading machinery (e.g.  pulley tackle or hoists, winches, capstans or jacks, derricks, cranes, mobile lifting frames, straddle carriers); works trucks, whether or not fitted with lifting or handling equipment, whether or not self propelled, of the type used in factories (including hand trucks or wheelbarrows); mechanical manipulators 
•parts specialised for lifting or handling equipment",
28162,5,2816,Manufacture and repair of lifts and escalators,"This Sub-class includes manufacture, repair or maintenance of:
•conveyors, telfers, etc.
•lifts, escalators or moving walkways",
28169,5,2816,Manufacture and repair of lifting and handling equipment n.e.c. (including conveying systems and industrial automated systems),This Sub-class includes manufacture or repair of lifting or handling equipment not elsewhere classified.,"•conveying equipment or parts manufacturing 
•conveying equipment or parts repair or maintenance 
•conveying systems or industrial automated systems manufacturing
•conveying systems or industrial automated systems repair or maintenance"
2817,4,281,Manufacture and Repair of Office Machinery and Equipment (except Computers and Peripheral Equipment),,
28171,5,2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),"This Sub-class includes manufacture of:
•calculating machines
•adding machines, cash registers
•calculators, electronic or not
•postage meters, mail handling machines (envelope stuffing, sealing or addressing machinery; opening, sorting, scanning), collating machinery
•typewriters
•stenography machines
•office-type binding equipment (i.e. plastic or tape binding)
•cheque writing machines
•coin counting or coin wrapping machinery
•pencil sharpeners
•staplers or staple removers
•voting machines
•tape dispensers
•hole punches
•cash registers, mechanically operated
•photocopy machines
•blackboards; white boards or marker boards
•dictating machines",
28172,5,2817,Repair and maintenance of office machinery and equipment,"This Sub-class includes repair or maintenance of:
•calculating machines
•adding machines, cash registers
•calculators, electronic or not
•postage meters, mail handling machines (envelope stuffing, sealing or addressing machinery; opening, sorting, scanning), collating machinery
•typewriters
•stenography machines
•office-type binding equipment (i.e. plastic or tape binding)
•cheque writing machines
•coin counting or coin wrapping machinery
•pencil sharpeners
•staplers or staple removers
•voting machines
•tape dispensers
•hole punches
•cash registers, mechanically operated
•photocopy machines
•blackboards; white boards or marker boards
•dictating machines",
2818,4,281,Manufacture and Repair of Robots,,
28181,5,2818,Manufacture and repair of industrial robots (including Automated Guided Vehicles (AGVs)),"This Sub-class includes manufacture, repair or maintenance of:
•industrial robots
•Automated Guided Vehicles (AGVs)",
28182,5,2818,Manufacture and repair of service robots,"This Sub-class includes manufacture, repair or maintenance of service robots.",
28189,5,2818,Manufacture and repair of robots n.e.c.,"This Sub-class includes manufacture, repair or maintenance of robots not elsewhere classified.","•entertainment robots manufacturing 
•entertainment robots repair and maintenance 
•military robots manufacturing"
2819,4,281,Manufacture and Repair of Other General Purpose Machinery,,
28191,5,2819,"Manufacture and repair of refrigerating, air-conditioning and ventilating machinery and equipment except household refrigerators","This Sub-class includes the manufacture, repair or maintenance of:
•industrial refrigerating or freezing equipment, including assemblies of major components
•air-conditioning machines, including for motor vehicles
•non-domestic fans
•machinery for cleaning or drying bottles or for aerating beverages
•heat exchangers
•machinery for liquefying air or gas
•gas generators
•attic ventilation fans (gable fans, roof ventilators, etc.)",
28192,5,2819,"Manufacture and repair of separation/mixing equipment (e.g. filters, separators, mixers)","This Sub-class includes manufacture, repair or maintenance of:
•filtering or purifying machinery or apparatus for liquids
•distilling or rectifying plant for petroleum refineries, chemical industries, beverage industries, etc",
28193,5,2819,Manufacture and repair of solar modules and panels,"This Sub-class includes manufacture, repair or maintenance of:
•solar modules
•solar panels",
28194,5,2819,Manufacture and repair of welding and soldering equipment (including arc welding electrodes),"This Sub-class includes manufacture, repair or maintenance of:
•welding or soldering equipment 
•non-electrical welding or soldering equipment
•coated or cored welding wire; 
•soldering equipment (except handheld)
•ultrasonic welding equipment
•laser welding equipment",
28195,5,2819,Manufacture and repair of packaging machinery,"This Sub-class includes manufacture, repair or maintenance of packing or wrapping machinery: filling, closing, sealing, capsuling or labelling machines, etc.",
28199,5,2819,Manufacture and repair of other general purpose machinery and equipment except electrical and electronic n.e.c.,"This Sub-class includes manufacture, repair or maintenance of other general purpose machinery not elsewhere classified, for instance:
•weighing machinery (other than sensitive laboratory balances): household or shop scales, platform scales, scales for continuous weighing, weighbridges, weights, etc.
•equipment for projecting, dispersing or spraying liquids or powders: spray guns, fire extinguishers, sandblasting machines, steam cleaning machines, etc.
•calendering or other rolling machines or cylinders thereof (except for metal or glass)
•centrifuges (except cream separators or clothes dryers)
•gaskets or similar joints made of a combination of materials or layers of the same material
•automatic goods vending machines
•parts for general-purpose machinery
•levels, tape measures or similar hand tools, machinists' precision tools (except optical)",
282,3,28,MANUFACTURE OF SPECIAL PURPOSE MACHINERY,,
2821,4,282,Manufacture and Repair of Agricultural and Forestry Machinery,,
28210,5,2821,Manufacture and repair of agricultural and forestry machinery,"This Sub-class includes the manufacture, repair and maintenance of: 
•tractors used in agriculture and forestry
•walking (pedestrian-controlled) tractors
•mowers, including lawnmowers
•agricultural self-loading or self-unloading trailers or semi-trailers
•agricultural machinery for soil preparation, planting or fertilising (e.g. ploughs, manure spreaders, seeders, harrows)
•harvesting or threshing machinery (e.g. harvesters, threshers, sorters)
•milking machines
•spraying machinery for agricultural use
•diverse agricultural machinery (e.g. poultry-keeping machinery, bee-keeping machinery, equipment for preparing fodder; machines for cleaning, sorting or grading eggs, fruit)",
2822,4,282,Manufacture and Repair of Metal-Forming Machinery and Machine Tools,,
28221,5,2822,"Manufacture and repair of machinery and machine-tools - metal cutting types (e.g. lathes, milling machines, shaping machines)","This Sub-class includes the manufacture or repair of metal cutting machinery or machine tools.

Units in this Sub-class are primarily engaged in one or more of the following:
•manufacture of machine tools for turning, drilling, milling, shaping, planing, boring, grinding, etc.",
28222,5,2822,"Manufacture and repair of machinery and machine-tools - metal forming types (e.g. forging press, cold heading machines, press breaks)","This Sub-class includes the manufacture or repair of metal forming machinery or machine tools. 

Units in this Sub-class are primarily engaged in one or more of the following:
•manufacture of machine tools for working metals, including those using a laser beam, ultrasonic waves, plasma arc, magnetic pulse, etc.
•manufacture of stamping or pressing machine tools
•manufacture of punch presses, hydraulic presses, hydraulic brakes, drop hammers, forging machines, etc.
•manufacture of draw-benches, thread rollers or machines for working wires",
28223,5,2822,"Manufacture of dies, moulds, tools, jigs and fixtures","This Sub-class includes the manufacture or repair of special tools or fixtures, such as cutting dies or jigs. Units in this Sub-class are also known as tool or die shops.",
28224,5,2822,"Manufacture of machine tool accessories (e.g. small cutting tools, precision measuring tools and other attachments such as tool holders)","This Sub-class includes the manufacture or repair of machine tool accessories or attachments for metal cutting or metal forming machine tools, for instance:
•knives or bits for metalworking lathes, planers, or shapers manufacturing
•measuring attachments (e.g., sine bars) for machine tool manufacturing
•metalworking drill bits manufacturing",
28225,5,2822,Manufacture and repair of metal additive manufacturing (AM) equipment (including metal powder),"This Sub-class includes the manufacture or repair of metal additive manufacturing (AM) equipment, metal powder additive manufacturing (AM) equipment, three-dimensional (3D) printer (metal-forming) manufacturing equipment.",
28229,5,2822,Manufacture and repair of metal-forming machinery and machine tools n.e.c. (including metalworking machinery),This Sub-class includes includes the manufacture or repair of metal-forming machinery or machine tools that are not elsewhere classified.,"•machinery for metallurgy manufacturing
•machinery for metallurgy repair and maintenance"
2824,4,282,"Manufacture and Repair of Machinery for Mining, Quarrying and Construction",,
28241,5,2824,Manufacture and repair of oil rigs,This Sub-class includes the manufacture or repair of oil rigs.,
28242,5,2824,"Manufacture and repair of other oilfield and gasfield machinery and equipment (e.g. derricks, tool joints)","This Sub-class includes includes the manufacture or repair of other oilfield or gasfield machinery or equipment, such as:
•oilfield or gasfield derricks or tool joints
•continuous-action elevators or conveyors for underground use in oilfield or gasfield
•boring, cutting, sinking or tunnelling machinery (whether or not for underground use) in oilfield or gasfield
•machinery for treating minerals by screening, sorting, separating, washing, crushing, etc. in oilfield or gasfield
•earth-moving machinery (e.g. bulldozers, angle-dozers, graders, scrapers, levellers, mechanical shovels, shovel loaders) in oilfield or gasfield
•track-laying tractors or tractors used in oilfield or gasfield",
28243,5,2824,Manufacture and repair of construction machinery and parts,"This Sub-class includes includes the manufacture or repair of machinery or parts for construction use, for instance:
•continuous-action elevators or conveyors for underground use in construction
•boring, cutting, sinking or tunnelling machinery (whether or not for underground use) for use in construction
•machinery for treating minerals by screening, sorting, separating, washing, crushing, etc. for use in construction
•concrete or mortar mixers for use in construction
•earth-moving machinery (e.g. bulldozers, angle-dozers, graders, scrapers, levellers, mechanical shovels, shovel loaders) for use in construction
•pile drivers or pile extractors, mortar spreaders, bitumen spreaders, concrete surfacing machinery etc for use in construction
•track-laying tractors or tractors used in construction
•bulldozer or angle-dozer blades for use in construction
•off-road dumping trucks for use in construction",
28249,5,2824,"Manufacture and repair of machinery for mining, quarrying and construction n.e.c.","This Sub-class includes the manufacture or repair of other machinery for mining, quarrying or construction not elsewhere classified.","•boring machine manufacturing, except oilfield, gasfield and construction
•boring machine, repair and maintenance, except oilfield, gasfield and construction
•drilling and boring machine, manufacturing, except oilfield, gasfield and construction,"
2825,4,282,"Manufacture and Repair of Machinery for Food, Beverage and Tobacco Processing",,
28251,5,2825,Manufacture and repair of machinery for food products processing,"This Sub-class includes the manufacture, repair or maintenance of machinery for food products processing, for instance: 
•agricultural dryers
•cheese-making machines (e.g. homogenisers, moulders, presses)
•machinery for the grain milling industry e.g. machinery to clean, sort or grade seeds, grain or dried leguminous vegetables (winnowers, sieving belts, separators, grain brushing machines, etc.)
•machinery to produce flour or meal etc (grinding mills, feeders, sifters, bran cleaners, blenders, rice hullers, pea splitters)
•machinery for the bakery industry or for making macaroni, spaghetti or similar products (e.g. bakery ovens, dough mixers, dough-dividers, moulders, slicers, cake depositing machines)
•machines or equipment to process diverse foods e.g. machinery to make confectionery, cocoa or chocolate; to manufacture sugar; to process meat or poultry; to prepare fruit, nuts or vegetables; to prepare fish, shellfish or other seafood, machinery for filtering or purifying, other machinery for the industrial preparation or manufacture of food
•machinery for the extraction or preparation of animal or vegetable fats or oils
•machinery for the preparation of food in hotels or restaurants",
28252,5,2825,Manufacture and repair of machinery for beverage production,"This Sub-class includes the manufacture, repair or maintenance of machinery for beverage products processing, for instance: 
•machinery for the dairy industry e.g. cream separators
•milk processing machinery (e.g. homogenisers)
•milk converting machinery (e.g. butter chums, butter workers or moulding machines)
•presses, crushers etc used to make wine, cider, fruit juices, etc.
•machines or equipment to process diverse foods e.g. machinery for breweries
•other machinery for the industrial preparation or manufacture of drink
•machinery for the preparation of drinks in hotels or restaurants",
28253,5,2825,Manufacture and repair of machinery for tobacco processing,"This Sub-class includes the manufacture, repair or maintenance of machinery for the preparation of tobacco or for the making of cigarettes or cigars, or for pipe or chewing tobacco or snuff.",
2826,4,282,"Manufacture and Repair of Machinery for Textile, Apparel and Leather Production",,
28260,5,2826,"Manufacture and repair of machinery for textile, apparel and leather production","This Sub-class includes the manufacture, repair or maintenance of:
•textile machinery e.g. machines for preparing, producing, extruding, drawing, texturing or cutting man-made textile fibres, materials or yarns, machines for preparing textile fibres: cotton gins, bale breakers, garnetters, cotton spreaders, wool scourers, wool carbonisers, combs, carders, roving frames etc, spinning machines, machines for preparing textile yarns: reelers, warpers or related machines, weaving machines (looms), including hand looms, knitting machines, machines for making knotted net, tulle, lace, braid, etc. auxiliary machines or equipment for textile machinery (e.g. dobbies, jacquards, automatic stop motions, shuttle changing mechanisms, spindles or spindle flyers)
•textile printing machinery
•machinery for fabric processing (e.g. machinery for washing, bleaching, dyeing, dressing, finishing, coating or impregnating textile fabrics)
•machines for reeling, unreeling, folding, cutting or pinking textile fabrics
•laundry machinery (e.g. ironing machines, including fusing presses, commercial washing or drying machines, dry-cleaning machines)
•sewing machines, sewing machine heads or sewing machine needles (whether or not for household use)
•machines for producing or finishing felt or non-wovens
•leather machines (e.g. machinery for preparing, tanning or working hides, skins or leather, machinery for making or repairing footwear or other articles of hides, skins, leather or fur skins)",
2827,4,282,Manufacture and Repair of Semiconductor Related Equipment,,
28271,5,2827,Manufacture of probe cards,This Sub-class includes the manufacture of probe cards.,
28272,5,2827,Manufacture of bonding tools,This Sub-class includes the manufacture of semiconductor bonding tools.,
28273,5,2827,Manufacture and repair of semiconductor assembly and testing equipment (including computer burn-in system),"This Sub-class includes the manufacture, repair or maintenance of semiconductor assembly or packaging machinery.",
28274,5,2827,Manufacture and repair of semiconductor foundry equipment,"This Sub-class includes the manufacture, repair or maintenance of:
•semiconductor foundry equipment
•semiconductor wafer processing equipment
•semiconductor etching equipment",
2829,4,282,Manufacture and Repair of Other Special Purpose Machinery,,
28291,5,2829,Manufacture and repair of water/waste water treatment equipment,"This Sub-class includes the manufacture, repair or maintenance of water/waste water treatment equipment or components.",
28292,5,2829,Manufacture and repair of plastic processing machinery,This Sub-class includes the manufacture or repair of plastics processing machinery. This includes machines for making a specific plastic product.,
28293,5,2829,Manufacture and repair of woodworking machinery,"This Sub-class includes the manufacture or repair of sawmill or woodworking machinery, such as circular or band sawing equipment, planing machinery, or sanding machinery.",
28294,5,2829,Manufacture and repair of polymer additive manufacturing (AM) equipment,This Sub-class includes the manufacture or repair of polymer additive manufacturing (AM) equipment such as three-dimensional (3D) printer (plastic-forming) manufacturing.,
